id,analysis_id,frame_number,timestamp_ms,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,created_at
detection_1_1_40,analysis_001,1,40,1,person,0.8072,1459,469,1544,640,1501,554,2025-08-25T23:31:05.605818
detection_2_1_40,analysis_001,1,40,2,person,0.7892,1446,319,1516,480,1481,399,2025-08-25T23:31:05.702744
detection_3_1_40,analysis_001,1,40,3,person,0.7729,664,649,744,850,704,749,2025-08-25T23:31:05.722288
detection_4_1_40,analysis_001,1,40,4,person,0.7686,259,434,326,609,292,521,2025-08-25T23:31:05.722522
detection_5_1_40,analysis_001,1,40,5,person,0.7548,1141,950,1245,1080,1193,1015,2025-08-25T23:31:05.746566
detection_6_1_40,analysis_001,1,40,6,person,0.7518,749,450,822,620,785,535,2025-08-25T23:31:05.746663
detection_7_1_40,analysis_001,1,40,7,person,0.7290,1794,144,1850,271,1822,207,2025-08-25T23:31:05.746811
detection_8_1_40,analysis_001,1,40,8,person,0.6932,1200,126,1255,265,1227,195,2025-08-25T23:31:05.746902
detection_9_1_40,analysis_001,1,40,9,person,0.6346,198,44,266,160,232,102,2025-08-25T23:31:05.747011
detection_10_1_40,analysis_001,1,40,10,person,0.6245,709,241,764,386,736,313,2025-08-25T23:31:05.747099
detection_11_1_40,analysis_001,1,40,11,person,0.6055,1091,45,1133,147,1112,96,2025-08-25T23:31:05.747170
detection_12_1_40,analysis_001,1,40,12,person,0.5942,1674,11,1727,140,1700,75,2025-08-25T23:31:05.747239
detection_13_1_40,analysis_001,1,40,13,person,0.5721,566,271,628,404,597,337,2025-08-25T23:31:05.747310
detection_14_1_40,analysis_001,1,40,14,person,0.5630,892,93,930,210,911,151,2025-08-25T23:31:05.747387
detection_15_1_40,analysis_001,1,40,15,person,0.5594,1615,16,1654,127,1634,71,2025-08-25T23:31:05.747450
detection_16_1_40,analysis_001,1,40,16,person,0.5389,89,128,144,252,116,190,2025-08-25T23:31:05.747527
