id,analysis_id,zone_id,zone_name,track_id,event_type,frame_number,timestamp_ms,position_x,position_y,created_at
event_1_1_40,analysis_001,zone_polygon_2,polygon_2,1,enter,1,40,1501,554,2025-08-21T07:59:54.451549
event_2_1_40,analysis_001,zone_polygon_2,polygon_2,2,enter,1,40,1481,399,2025-08-21T07:59:54.451798
event_4_1_40,analysis_001,zone_polygon_1,polygon_1,4,enter,1,40,292,521,2025-08-21T07:59:54.452074
event_5_1_40,analysis_001,zone_polygon_2,polygon_2,5,enter,1,40,1193,1015,2025-08-21T07:59:54.452246
event_21_1_40,analysis_001,zone_polygon_2,polygon_2,21,enter,1,40,1472,794,2025-08-21T07:59:54.453387
event_31_1_40,analysis_001,zone_polygon_1,polygon_1,31,enter,1,40,369,567,2025-08-21T07:59:54.453964
event_38_1_40,analysis_001,zone_polygon_1,polygon_1,38,enter,1,40,486,574,2025-08-21T07:59:54.454355
event_40_6_240,analysis_001,zone_polygon_1,polygon_1,40,enter,6,240,422,584,2025-08-21T07:59:54.957512
event_41_6_240,analysis_001,zone_polygon_2,polygon_2,41,enter,6,240,1174,552,2025-08-21T07:59:54.957615
event_44_11_440,analysis_001,zone_polygon_2,polygon_2,44,enter,11,440,1176,542,2025-08-21T07:59:55.421188
event_50_31_1240,analysis_001,zone_polygon_2,polygon_2,50,enter,31,1240,1176,479,2025-08-21T07:59:56.975193
event_4_44_1760,analysis_001,zone_polygon_1,polygon_1,4,exit,44,1760,253,671,2025-08-21T07:59:58.186258
event_54_44_1760,analysis_001,zone_polygon_2,polygon_2,54,enter,44,1760,1094,1042,2025-08-21T07:59:58.188914
event_56_46_1840,analysis_001,zone_polygon_2,polygon_2,56,enter,46,1840,1190,442,2025-08-21T07:59:58.356820
event_58_52_2080,analysis_001,zone_polygon_1,polygon_1,58,enter,52,2080,358,551,2025-08-21T07:59:58.919566
event_59_52_2080,analysis_001,zone_polygon_1,polygon_1,59,enter,52,2080,427,592,2025-08-21T07:59:58.919693
event_1_64_2560,analysis_001,zone_polygon_2,polygon_2,1,exit,64,2560,1626,819,2025-08-21T08:00:00.385357
event_64_65_2600,analysis_001,zone_polygon_2,polygon_2,64,enter,65,2600,1608,653,2025-08-21T08:00:01.121776
