id,analysis_id,zone_id,zone_name,track_id,event_type,frame_number,timestamp_ms,position_x,position_y,class_name,confidence,created_at
event_1_1_40,analysis_001,zone_zona_restriccion,polygon_restriccion,1,enter,1,40,1501,554,person,0.8071834,2025-08-21T20:41:50.795118
event_2_1_40,analysis_001,zone_zona_restriccion,polygon_restriccion,2,enter,1,40,1481,399,person,0.78921425,2025-08-21T20:41:50.795301
event_4_1_40,analysis_001,zone_entrada_principal,polygon_principal,4,enter,1,40,292,521,person,0.7685747,2025-08-21T20:41:50.795577
event_16_1_40,analysis_001,zone_entrada_principal,polygon_principal,16,enter,1,40,116,190,person,0.5388613,2025-08-21T20:41:50.796562
event_31_1_40,analysis_001,zone_entrada_principal,polygon_principal,31,enter,1,40,369,567,person,0.34716043,2025-08-21T20:41:50.797487
event_38_1_40,analysis_001,zone_entrada_principal,polygon_principal,38,enter,1,40,486,574,person,0.26961666,2025-08-21T20:41:50.797885
event_40_6_240,analysis_001,zone_entrada_principal,polygon_principal,40,enter,6,240,422,584,person,0.32373974,2025-08-21T20:41:51.314132
event_41_6_240,analysis_001,zone_zona_restriccion,polygon_restriccion,41,enter,6,240,1174,552,person,0.35576436,2025-08-21T20:41:51.314229
event_44_11_440,analysis_001,zone_zona_restriccion,polygon_restriccion,44,enter,11,440,1176,542,person,0.5161153,2025-08-21T20:41:52.204615
event_50_31_1240,analysis_001,zone_zona_restriccion,polygon_restriccion,50,enter,31,1240,1176,479,person,0.48295447,2025-08-21T20:41:54.466865
event_4_38_1520,analysis_001,zone_entrada_principal,polygon_principal,4,exit,38,1520,264,654,person,0.80707526,2025-08-21T20:41:55.096554
event_1_43_1720,analysis_001,zone_zona_restriccion,polygon_restriccion,1,exit,43,1720,1577,710,person,0.7241872,2025-08-21T20:41:55.496334
event_56_46_1840,analysis_001,zone_zona_restriccion,polygon_restriccion,56,enter,46,1840,1190,442,person,0.5043148,2025-08-21T20:41:55.824338
event_51_50_2000,analysis_001,zone_entrada_principal,polygon_principal,51,enter,50,2000,38,124,person,0.58605444,2025-08-21T20:41:56.370014
event_58_52_2080,analysis_001,zone_entrada_principal,polygon_principal,58,enter,52,2080,358,551,person,0.3632931,2025-08-21T20:41:56.609716
event_59_52_2080,analysis_001,zone_entrada_principal,polygon_principal,59,enter,52,2080,427,592,person,0.31482416,2025-08-21T20:41:56.609967
event_63_59_2360,analysis_001,zone_entrada_principal,polygon_principal,63,enter,59,2360,93,158,person,0.50054514,2025-08-21T20:41:57.787361
event_5_60_2400,analysis_001,zone_zona_restriccion,polygon_restriccion,5,enter,60,2400,1110,733,person,0.69565004,2025-08-21T20:41:58.096185
event_2_62_2480,analysis_001,zone_zona_restriccion,polygon_restriccion,2,exit,62,2480,1601,631,person,0.6202099,2025-08-21T20:41:58.561202
event_69_76_3040,analysis_001,zone_entrada_principal,polygon_principal,69,enter,76,3040,112,173,person,0.516645,2025-08-21T20:42:00.555280
event_44_85_3400,analysis_001,zone_zona_restriccion,polygon_restriccion,44,exit,85,3400,1200,344,person,0.48813796,2025-08-21T20:42:01.601491
event_72_85_3400,analysis_001,zone_entrada_principal,polygon_principal,72,enter,85,3400,383,553,person,0.35981506,2025-08-21T20:42:01.604137
event_44_87_3480,analysis_001,zone_zona_restriccion,polygon_restriccion,44,enter,87,3480,1200,345,person,0.534988,2025-08-21T20:42:01.866117
event_44_88_3520,analysis_001,zone_zona_restriccion,polygon_restriccion,44,exit,88,3520,1201,343,person,0.5664884,2025-08-21T20:42:01.986924
event_54_111_4440,analysis_001,zone_zona_restriccion,polygon_restriccion,54,enter,111,4440,1029,740,person,0.63899124,2025-08-21T20:42:04.797292
event_77_126_5040,analysis_001,zone_entrada_principal,polygon_principal,77,enter,126,5040,419,554,person,0.37711644,2025-08-21T20:42:06.945488
event_66_128_5120,analysis_001,zone_zona_restriccion,polygon_restriccion,66,enter,128,5120,1255,722,person,0.7120509,2025-08-21T20:42:07.232000
event_28_134_5360,analysis_001,zone_entrada_principal,polygon_principal,28,enter,134,5360,571,520,person,0.47618356,2025-08-21T20:42:07.941918
