Frame	Objetos_Detectados	IDs_Confirmados	IDs_Unicos	En_Zonas	Cruzaron_Lineas
1	41	39	39	6	0
2	40	38	39	6	0
3	39	36	39	6	0
4	39	36	39	6	0
5	37	35	39	6	0
6	38	36	41	8	0
7	38	36	42	8	0
8	39	37	42	8	0
9	39	38	43	8	0
10	39	37	43	8	0
11	40	39	45	9	0
12	39	37	45	9	0
13	38	36	45	9	0
14	39	38	45	9	0
15	39	37	45	9	0
16	39	36	45	9	0
17	37	35	45	9	0
18	37	36	46	9	0
19	36	35	46	9	0
20	37	35	46	9	0
21	37	36	46	9	0
22	37	36	47	9	0
23	37	35	47	9	0
24	38	37	47	9	0
25	39	38	48	9	0
26	39	37	48	9	0
27	40	39	49	9	0
28	37	36	49	9	0
29	36	36	49	9	0
30	36	36	49	9	0
31	38	37	50	10	0
32	38	36	50	10	0
33	37	36	50	10	0
34	37	36	50	10	0
35	37	36	50	10	0
36	37	36	50	10	0
37	37	36	50	10	0
38	38	38	51	9	0
39	38	38	51	9	0
40	39	38	52	9	0
41	39	38	53	9	0
42	39	36	53	9	0
43	35	34	53	8	0
44	37	36	54	8	0
45	38	36	55	8	0
46	36	35	56	9	0
47	38	37	56	9	0
48	35	35	56	9	0
49	36	35	56	9	0
50	37	35	56	10	0
51	37	35	56	10	0
52	41	39	60	12	0
53	41	39	60	12	0
54	41	40	61	12	0
55	41	40	61	12	0
56	41	41	61	12	0
57	41	40	61	12	0
58	41	40	61	12	0
59	42	41	63	13	0
60	42	42	63	14	0
61	42	41	63	14	0
62	42	41	63	13	0
63	39	39	63	13	0
64	40	39	63	13	0
65	40	39	64	13	0
66	38	38	64	13	0
67	40	40	65	13	0
68	39	37	65	13	0
69	39	37	65	13	0
70	40	38	66	13	0
71	38	37	66	13	0
72	39	39	66	13	0
73	38	37	66	13	0
74	40	40	67	13	0
75	41	41	68	13	0
76	42	41	69	14	0
77	42	42	69	14	0
78	41	41	69	14	0
79	42	42	70	14	0
80	42	42	70	14	0
81	41	40	70	14	0
82	41	39	70	14	0
83	40	40	70	14	0
84	41	41	71	14	0
85	42	41	72	14	0
86	41	41	72	14	0
87	41	41	72	15	0
88	40	40	72	14	0
89	40	40	72	14	0
90	40	40	72	14	0
91	40	40	72	14	0
92	40	40	72	14	0
93	40	40	72	14	0
94	41	41	73	14	0
95	41	41	73	14	0
96	40	40	73	14	0
97	39	39	73	14	0
98	39	38	73	14	0
99	39	39	73	14	0
100	39	39	73	14	0
101	38	38	73	14	0
102	37	37	73	14	0
103	38	37	74	14	0
104	38	36	74	14	0
105	39	38	75	14	0
106	39	38	75	14	0
107	38	38	75	14	0
108	36	36	75	14	0
109	36	36	75	14	0
110	35	34	75	14	0
111	35	34	75	15	0
112	35	35	75	15	0
113	35	34	75	15	0
114	34	34	75	15	0
115	34	34	75	15	0
116	34	33	75	15	0
117	33	33	75	15	0
118	33	32	75	15	0
119	33	32	75	15	0
120	33	33	75	15	0
121	36	35	75	15	0
122	36	35	75	15	0
123	35	34	75	15	0
124	35	35	76	15	0
125	36	35	76	15	0
126	37	36	77	16	0
127	38	37	78	16	0
128	35	35	78	17	0
129	36	35	78	17	0
130	36	35	79	17	0
131	36	35	79	17	0
132	34	33	79	17	0
133	33	33	79	17	0
134	33	33	79	18	0
135	32	32	79	18	0
136	32	32	79	18	0
137	31	30	79	18	0
138	32	31	79	18	0
139	34	33	80	18	0
140	34	33	80	18	0
141	33	32	80	18	0
142	34	33	81	18	0
143	32	32	81	18	0
144	32	32	81	18	0
145	32	32	81	19	0
146	31	31	81	19	0
147	31	31	81	19	0
148	32	32	81	19	0
149	32	32	81	19	0
150	32	32	81	19	0
151	33	33	81	19	0
152	34	33	82	19	0
153	34	33	82	19	0
154	31	31	82	19	0
155	31	31	82	19	0
156	32	31	82	19	0
157	31	31	82	19	0
158	31	30	82	19	0
159	31	30	82	19	0
160	30	29	82	19	0
161	31	31	83	19	0
162	31	30	83	19	0
163	31	31	83	19	0
164	30	30	83	18	0
165	30	30	83	18	0
166	30	30	83	18	0
167	30	30	83	18	0
168	30	30	83	17	0
169	30	30	83	17	0
170	30	30	83	17	0
171	30	30	83	17	0
172	30	30	83	17	0
173	30	30	83	17	0
174	30	30	83	17	0
175	30	30	83	17	0
176	30	29	83	17	0
177	30	30	83	17	0
178	30	28	83	17	0
179	30	30	83	17	0
180	30	30	83	17	0
181	30	30	83	17	0
182	31	30	84	17	0
183	32	31	85	17	0
184	30	30	85	17	0
185	31	31	85	17	0
186	30	30	85	17	0
187	30	30	85	17	0
188	30	30	85	17	0
189	30	30	85	17	0
190	30	30	85	17	0
191	30	30	85	17	0
192	31	31	86	17	0
193	31	31	86	17	0
194	32	32	87	17	0
195	32	32	87	17	0
196	33	33	88	17	0
197	33	33	88	17	0
198	33	33	88	17	0
199	33	33	88	17	0
200	34	34	89	17	0
201	34	34	89	17	0
202	34	34	89	17	0
203	33	33	89	17	0
204	33	33	89	17	0
205	33	33	89	17	0
206	34	33	89	18	0
207	35	33	89	18	0
208	32	30	90	19	0
209	30	29	90	19	0
210	31	30	90	19	0
211	31	29	90	18	0
212	31	30	90	18	0
213	29	28	90	18	0
214	30	29	91	19	0
215	30	29	91	19	0
216	31	29	91	19	0
217	32	28	91	19	0
218	32	29	92	19	0
219	31	30	93	19	0
220	32	31	94	19	0
221	32	31	94	19	0
222	32	31	94	20	0
223	32	31	94	20	0
224	33	31	94	20	0
225	32	28	94	20	0
226	31	25	94	20	0
227	31	25	94	20	0
228	31	26	94	20	0
229	31	28	94	19	0
230	31	29	94	19	0
231	31	29	94	18	0
232	31	29	94	18	0
233	30	27	94	18	0
234	30	27	94	18	0
235	30	27	94	18	0
236	29	26	94	18	0
237	29	27	94	18	0
238	30	28	95	18	0
239	28	26	95	18	0
240	28	25	95	18	0
241	28	26	95	18	0
242	29	27	95	18	0
243	28	26	95	18	0
244	28	27	95	18	0
245	28	26	95	18	0
246	28	25	95	18	0
247	28	25	95	18	0
248	28	25	95	18	0
249	28	24	95	18	0
250	29	23	95	18	0
