Frame	Objetos_Detectados	IDs_Confirmados	IDs_Unicos	En_Zonas	Cruzaron_Lineas
1	23	21	21	5	0
2	21	20	22	5	0
3	19	18	22	5	0
4	21	19	23	5	0
5	22	20	24	5	0
6	18	17	24	5	0
7	19	17	24	5	0
8	20	18	25	5	0
9	22	21	26	5	0
10	18	17	26	5	0
11	18	18	27	6	0
12	19	18	27	6	0
13	18	18	27	6	0
14	19	18	27	6	0
15	21	20	27	6	0
16	23	21	28	6	0
17	22	20	28	6	0
18	22	21	29	6	0
19	23	22	29	6	0
20	24	24	29	6	0
21	21	21	29	6	0
22	22	21	29	6	0
23	21	20	29	6	0
24	20	20	29	6	0
25	17	17	29	6	0
26	18	18	29	6	0
27	22	22	29	6	0
28	22	22	29	6	0
29	21	21	31	6	0
30	23	23	31	6	0
31	23	22	31	6	0
32	20	19	31	6	0
33	21	20	31	6	0
34	21	20	31	6	0
35	21	20	31	6	0
36	21	20	31	6	0
37	19	19	31	6	0
38	19	19	31	6	0
39	20	20	32	6	0
40	20	19	32	6	0
41	20	19	32	6	0
42	20	19	32	6	0
43	20	18	32	6	0
44	20	19	32	5	0
45	18	18	33	6	0
46	20	20	33	6	0
47	17	17	33	6	0
48	17	16	33	6	0
49	22	21	34	6	0
50	23	21	34	6	0
51	21	20	34	6	0
52	20	18	34	6	0
53	22	20	35	7	0
54	23	22	36	7	0
55	24	24	36	7	0
56	20	20	36	7	0
57	21	21	37	7	0
58	21	20	37	7	0
59	22	22	37	7	0
60	23	23	37	7	0
61	23	22	38	7	0
62	22	22	40	7	0
63	23	23	40	7	0
64	23	23	40	6	0
65	24	24	40	6	0
66	24	24	40	6	0
67	25	25	40	6	0
68	22	22	40	6	0
69	22	22	40	6	0
70	24	22	40	6	0
71	22	22	42	7	0
72	22	22	42	7	0
73	24	24	42	7	0
74	25	25	42	7	0
75	23	23	42	7	0
76	24	24	43	7	0
77	26	26	43	7	0
78	22	22	43	7	0
79	21	21	43	7	0
80	21	21	43	7	0
81	20	20	43	7	0
82	24	22	44	7	0
83	21	21	44	7	0
