Frame	Objetos_Detectados	IDs_Confirmados	IDs_Unicos	En_Zonas	Cruzaron_Lineas
1	23	21	21	0	0
2	21	20	22	0	0
3	19	18	22	0	0
4	21	19	23	0	0
5	22	20	24	0	0
6	18	17	24	0	0
7	19	17	24	0	0
8	20	18	25	0	0
9	22	21	26	0	0
10	18	17	26	0	0
11	18	18	27	0	0
12	19	18	27	0	0
13	18	18	27	0	0
14	19	18	27	0	0
15	21	20	27	0	0
16	23	21	28	0	0
17	22	20	28	0	0
18	22	21	29	0	0
19	23	22	29	0	0
20	24	24	29	0	0
21	21	21	29	0	1
22	22	21	29	0	1
23	21	20	29	0	1
24	20	20	29	0	1
25	17	17	29	0	1
26	18	18	29	0	1
27	22	22	29	0	1
28	22	22	29	0	2
29	21	21	31	0	3
30	23	23	31	0	3
31	23	22	31	0	3
32	20	19	31	0	3
33	21	20	31	0	3
34	21	20	31	0	3
35	21	20	31	0	3
36	21	20	31	0	3
37	19	19	31	0	3
38	19	19	31	0	3
39	20	20	32	0	3
40	20	19	32	0	3
41	20	19	32	0	3
42	20	19	32	0	3
43	20	18	32	0	3
44	20	19	32	0	3
45	18	18	33	0	3
46	20	20	33	0	3
47	17	17	33	0	3
48	17	16	33	0	3
49	22	21	34	0	3
50	23	21	34	0	3
51	21	20	34	0	3
52	20	18	34	0	3
53	22	20	35	0	3
54	23	22	36	0	3
55	24	24	36	0	3
56	20	20	36	0	3
57	21	21	37	0	3
58	21	20	37	0	4
59	22	22	37	0	4
60	23	23	37	0	5
61	23	22	38	0	5
62	22	22	40	0	5
63	23	23	40	0	5
64	23	23	40	0	5
65	24	24	40	0	5
66	24	24	40	0	5
67	25	25	40	0	5
68	22	22	40	0	5
69	22	22	40	0	5
70	24	22	40	0	5
71	22	22	42	0	5
72	22	22	42	0	5
73	24	24	42	0	6
74	25	25	42	0	6
75	23	23	42	0	6
76	24	24	43	0	6
77	26	26	43	0	6
78	22	22	43	0	6
79	21	21	43	0	6
80	21	21	43	0	6
81	20	20	43	0	6
82	24	22	44	0	6
83	21	21	44	0	6
84	22	22	44	0	6
85	25	24	44	0	6
86	23	23	44	0	6
87	24	24	44	0	6
88	23	23	44	0	6
89	23	23	44	0	6
90	24	24	44	0	6
91	22	22	44	0	6
92	25	25	44	0	7
93	23	23	44	0	7
94	22	22	44	0	7
95	22	22	44	0	7
96	19	19	44	0	7
97	19	19	44	0	7
98	23	22	44	0	7
99	23	23	44	0	7
100	22	22	44	0	7
101	23	23	44	0	7
102	22	22	44	0	7
103	24	24	44	0	8
104	21	21	44	0	8
105	24	24	44	0	8
106	22	22	44	0	8
107	21	21	44	0	8
108	23	23	44	0	8
109	22	22	44	0	8
110	21	21	44	0	8
111	22	22	44	0	8
112	21	21	44	0	8
113	22	22	44	0	8
114	23	23	45	0	8
115	24	24	45	0	8
116	21	21	45	0	8
117	21	21	45	0	8
118	19	19	45	0	8
119	20	20	45	0	8
120	20	20	45	0	8
121	19	19	45	0	8
122	22	21	47	0	8
123	22	21	47	0	8
124	26	26	49	0	8
125	25	25	49	0	8
126	25	25	50	0	8
