id,analysis_id,zone_id,zone_name,track_id,event_type,frame_number,timestamp_ms,position_x,position_y,class_name,confidence,created_at
event_1_1_40,analysis_001,zone_zona_restriccion,polygon_restriccion,1,enter,1,40,1501,554,person,0.8071834,2025-08-24T01:09:09.349165
event_2_1_40,analysis_001,zone_zona_restriccion,polygon_restriccion,2,enter,1,40,1481,399,person,0.78921425,2025-08-24T01:09:09.393557
event_4_1_40,analysis_001,zone_entrada_principal,polygon_principal,4,enter,1,40,292,521,person,0.7685747,2025-08-24T01:09:09.397817
event_16_1_40,analysis_001,zone_entrada_principal,polygon_principal,16,enter,1,40,116,190,person,0.5388613,2025-08-24T01:09:09.422967
event_31_1_40,analysis_001,zone_entrada_principal,polygon_principal,31,enter,1,40,369,567,person,0.34716043,2025-08-24T01:09:09.481659
event_38_1_40,analysis_001,zone_entrada_principal,polygon_principal,38,enter,1,40,486,574,person,0.26961666,2025-08-24T01:09:09.523472
event_40_6_240,analysis_001,zone_entrada_principal,polygon_principal,40,enter,6,240,422,584,person,0.32373974,2025-08-24T01:09:10.460421
event_41_6_240,analysis_001,zone_zona_restriccion,polygon_restriccion,41,enter,6,240,1174,552,person,0.35576436,2025-08-24T01:09:10.463616
event_44_11_440,analysis_001,zone_zona_restriccion,polygon_restriccion,44,enter,11,440,1176,542,person,0.5161153,2025-08-24T01:09:11.034872
event_50_31_1240,analysis_001,zone_zona_restriccion,polygon_restriccion,50,enter,31,1240,1176,479,person,0.48295447,2025-08-24T01:09:13.340515
event_4_38_1520,analysis_001,zone_entrada_principal,polygon_principal,4,exit,38,1520,264,654,person,0.80707526,2025-08-24T01:09:14.300268
event_1_43_1720,analysis_001,zone_zona_restriccion,polygon_restriccion,1,exit,43,1720,1577,710,person,0.7241872,2025-08-24T01:09:14.850146
event_56_46_1840,analysis_001,zone_zona_restriccion,polygon_restriccion,56,enter,46,1840,1190,442,person,0.5043148,2025-08-24T01:09:15.284868
event_51_50_2000,analysis_001,zone_entrada_principal,polygon_principal,51,enter,50,2000,38,124,person,0.58605444,2025-08-24T01:09:15.711654
event_58_52_2080,analysis_001,zone_entrada_principal,polygon_principal,58,enter,52,2080,358,551,person,0.3632931,2025-08-24T01:09:15.989450
event_59_52_2080,analysis_001,zone_entrada_principal,polygon_principal,59,enter,52,2080,427,592,person,0.31482416,2025-08-24T01:09:15.993111
event_63_59_2360,analysis_001,zone_entrada_principal,polygon_principal,63,enter,59,2360,93,158,person,0.50054514,2025-08-24T01:09:16.898438
event_5_60_2400,analysis_001,zone_zona_restriccion,polygon_restriccion,5,enter,60,2400,1110,733,person,0.69565004,2025-08-24T01:09:16.980644
event_2_62_2480,analysis_001,zone_zona_restriccion,polygon_restriccion,2,exit,62,2480,1601,631,person,0.6202099,2025-08-24T01:09:17.221492
event_69_76_3040,analysis_001,zone_entrada_principal,polygon_principal,69,enter,76,3040,112,173,person,0.516645,2025-08-24T01:09:19.079257
event_44_85_3400,analysis_001,zone_zona_restriccion,polygon_restriccion,44,exit,85,3400,1200,344,person,0.48813796,2025-08-24T01:09:20.142286
event_72_85_3400,analysis_001,zone_entrada_principal,polygon_principal,72,enter,85,3400,383,553,person,0.35981506,2025-08-24T01:09:20.168945
event_44_87_3480,analysis_001,zone_zona_restriccion,polygon_restriccion,44,enter,87,3480,1200,345,person,0.534988,2025-08-24T01:09:20.405283
event_44_88_3520,analysis_001,zone_zona_restriccion,polygon_restriccion,44,exit,88,3520,1201,343,person,0.5664884,2025-08-24T01:09:20.515322
event_54_111_4440,analysis_001,zone_zona_restriccion,polygon_restriccion,54,enter,111,4440,1029,740,person,0.63899124,2025-08-24T01:09:23.225743
event_77_126_5040,analysis_001,zone_entrada_principal,polygon_principal,77,enter,126,5040,419,554,person,0.37711644,2025-08-24T01:09:25.071995
event_66_128_5120,analysis_001,zone_zona_restriccion,polygon_restriccion,66,enter,128,5120,1255,722,person,0.7120509,2025-08-24T01:09:25.287931
event_28_134_5360,analysis_001,zone_entrada_principal,polygon_principal,28,enter,134,5360,571,520,person,0.47618356,2025-08-24T01:09:26.032270
event_11_145_5800,analysis_001,zone_zona_restriccion,polygon_restriccion,11,enter,145,5800,1168,352,person,0.6984546,2025-08-24T01:09:27.370463
event_5_164_6560,analysis_001,zone_zona_restriccion,polygon_restriccion,5,exit,164,6560,1095,369,person,0.7022151,2025-08-24T01:09:30.140075
event_28_168_6720,analysis_001,zone_entrada_principal,polygon_principal,28,exit,168,6720,553,613,person,0.74841446,2025-08-24T01:09:30.646866
event_75_206_8240,analysis_001,zone_entrada_principal,polygon_principal,75,enter,206,8240,235,132,person,0.47169486,2025-08-24T01:09:35.196011
event_90_208_8320,analysis_001,zone_entrada_principal,polygon_principal,90,enter,208,8320,234,137,person,0.42407623,2025-08-24T01:09:35.423263
event_54_211_8440,analysis_001,zone_zona_restriccion,polygon_restriccion,54,exit,211,8440,1047,379,person,0.5644733,2025-08-24T01:09:35.728564
event_91_214_8560,analysis_001,zone_entrada_principal,polygon_principal,91,enter,214,8560,464,534,person,0.31031805,2025-08-24T01:09:36.122389
event_39_222_8880,analysis_001,zone_zona_restriccion,polygon_restriccion,39,enter,222,8880,1023,717,person,0.66737014,2025-08-24T01:09:37.216650
event_66_229_9160,analysis_001,zone_zona_restriccion,polygon_restriccion,66,exit,229,9160,1266,325,person,0.71262896,2025-08-24T01:09:38.536947
event_39_231_9240,analysis_001,zone_zona_restriccion,polygon_restriccion,39,exit,231,9240,1034,751,person,0.72484165,2025-08-24T01:09:38.770347
event_11_255_10200,analysis_001,zone_zona_restriccion,polygon_restriccion,11,exit,255,10200,1251,732,person,0.81366235,2025-08-24T01:09:42.803241
event_119_321_12840,analysis_001,zone_entrada_principal,polygon_principal,119,enter,321,12840,443,548,person,0.10654169,2025-08-24T01:09:50.451780
event_120_321_12840,analysis_001,zone_zona_restriccion,polygon_restriccion,120,enter,321,12840,1076,723,person,0.4647781,2025-08-24T01:09:50.460094
event_96_322_12880,analysis_001,zone_zona_restriccion,polygon_restriccion,96,enter,322,12880,1082,740,person,0.6152639,2025-08-24T01:09:50.573342
event_123_325_13000,analysis_001,zone_entrada_principal,polygon_principal,123,enter,325,13000,420,554,person,0.38379166,2025-08-24T01:09:50.918319
event_107_327_13080,analysis_001,zone_entrada_principal,polygon_principal,107,enter,327,13080,32,415,person,0.529715,2025-08-24T01:09:51.117472
event_107_339_13560,analysis_001,zone_entrada_principal,polygon_principal,107,exit,339,13560,37,441,person,0.55427736,2025-08-24T01:09:52.524637
event_127_340_13600,analysis_001,zone_entrada_principal,polygon_principal,127,enter,340,13600,465,534,person,0.31638318,2025-08-24T01:09:52.656687
