id,analysis_id,zone_id,zone_name,track_id,event_type,frame_number,timestamp_ms,position_x,position_y,created_at
event_1_1_40,analysis_001,zone_polygon_2,polygon_2,1,enter,1,40,1501,554,2025-08-20T20:58:24.146705
event_2_1_40,analysis_001,zone_polygon_2,polygon_2,2,enter,1,40,1481,399,2025-08-20T20:58:24.146919
event_4_1_40,analysis_001,zone_polygon_1,polygon_1,4,enter,1,40,292,521,2025-08-20T20:58:24.147521
event_5_1_40,analysis_001,zone_polygon_2,polygon_2,5,enter,1,40,1193,1015,2025-08-20T20:58:24.147850
event_21_1_40,analysis_001,zone_polygon_2,polygon_2,21,enter,1,40,1472,794,2025-08-20T20:58:24.149126
event_31_1_40,analysis_001,zone_polygon_1,polygon_1,31,enter,1,40,369,567,2025-08-20T20:58:24.149751
event_38_1_40,analysis_001,zone_polygon_1,polygon_1,38,enter,1,40,486,574,2025-08-20T20:58:24.150177
event_40_6_240,analysis_001,zone_polygon_1,polygon_1,40,enter,6,240,422,584,2025-08-20T20:58:25.622173
event_41_6_240,analysis_001,zone_polygon_2,polygon_2,41,enter,6,240,1174,552,2025-08-20T20:58:25.622338
event_44_11_440,analysis_001,zone_polygon_2,polygon_2,44,enter,11,440,1176,542,2025-08-20T20:58:27.268420
event_50_31_1240,analysis_001,zone_polygon_2,polygon_2,50,enter,31,1240,1176,479,2025-08-20T20:58:29.560536
event_54_44_1760,analysis_001,zone_polygon_2,polygon_2,54,enter,44,1760,1094,1042,2025-08-20T20:58:30.764079
event_56_46_1840,analysis_001,zone_polygon_2,polygon_2,56,enter,46,1840,1190,442,2025-08-20T20:58:31.036185
event_58_52_2080,analysis_001,zone_polygon_1,polygon_1,58,enter,52,2080,358,551,2025-08-20T20:58:31.732582
event_59_52_2080,analysis_001,zone_polygon_1,polygon_1,59,enter,52,2080,427,592,2025-08-20T20:58:31.732752
event_64_65_2600,analysis_001,zone_polygon_2,polygon_2,64,enter,65,2600,1608,653,2025-08-20T20:58:33.125953
event_66_70_2800,analysis_001,zone_polygon_2,polygon_2,66,enter,70,2800,1219,1047,2025-08-20T20:58:33.619536
event_72_85_3400,analysis_001,zone_polygon_1,polygon_1,72,enter,85,3400,383,553,2025-08-20T20:58:35.116167
event_33_86_3440,analysis_001,zone_polygon_2,polygon_2,33,enter,86,3440,1693,472,2025-08-20T20:58:35.216443
event_13_88_3520,analysis_001,zone_polygon_1,polygon_1,13,enter,88,3520,602,528,2025-08-20T20:58:35.437043
event_28_125_5000,analysis_001,zone_polygon_1,polygon_1,28,enter,125,5000,581,493,2025-08-20T20:58:39.603334
event_77_126_5040,analysis_001,zone_polygon_1,polygon_1,77,enter,126,5040,419,554,2025-08-20T20:58:39.721514
event_11_146_5840,analysis_001,zone_polygon_2,polygon_2,11,enter,146,5840,1169,355,2025-08-20T20:58:42.252809
event_39_211_8440,analysis_001,zone_polygon_2,polygon_2,39,enter,211,8440,1014,666,2025-08-20T20:58:52.718330
event_91_214_8560,analysis_001,zone_polygon_1,polygon_1,91,enter,214,8560,464,534,2025-08-20T20:58:55.519844
event_19_244_9760,analysis_001,zone_polygon_2,polygon_2,19,enter,244,9760,990,994,2025-08-20T20:59:00.607049
event_96_251_10040,analysis_001,zone_polygon_2,polygon_2,96,enter,251,10040,1428,1033,2025-08-20T20:59:01.605300
event_99_274_10960,analysis_001,zone_polygon_2,polygon_2,99,enter,274,10960,1543,993,2025-08-20T20:59:06.552123
event_110_294_11760,analysis_001,zone_polygon_2,polygon_2,110,enter,294,11760,1489,1049,2025-08-20T20:59:09.105893
event_113_297_11880,analysis_001,zone_polygon_2,polygon_2,113,enter,297,11880,1190,861,2025-08-20T20:59:09.537396
event_119_321_12840,analysis_001,zone_polygon_1,polygon_1,119,enter,321,12840,443,548,2025-08-20T20:59:12.712685
event_120_321_12840,analysis_001,zone_polygon_2,polygon_2,120,enter,321,12840,1076,723,2025-08-20T20:59:12.715700
event_121_321_12840,analysis_001,zone_polygon_2,polygon_2,121,enter,321,12840,1097,749,2025-08-20T20:59:12.715842
event_122_325_13000,analysis_001,zone_polygon_2,polygon_2,122,enter,325,13000,1464,1042,2025-08-20T20:59:13.172892
event_123_325_13000,analysis_001,zone_polygon_1,polygon_1,123,enter,325,13000,420,554,2025-08-20T20:59:13.172997
event_124_326_13040,analysis_001,zone_polygon_2,polygon_2,124,enter,326,13040,1190,1053,2025-08-20T20:59:13.287776
event_127_340_13600,analysis_001,zone_polygon_1,polygon_1,127,enter,340,13600,465,534,2025-08-20T20:59:14.957770
event_128_341_13640,analysis_001,zone_polygon_2,polygon_2,128,enter,341,13640,1605,626,2025-08-20T20:59:15.063322
