id,analysis_id,zone_id,zone_name,track_id,event_type,frame_number,timestamp_ms,position_x,position_y,created_at
event_1_1_40,analysis_001,zone_polygon_2,polygon_2,1,enter,1,40,1501,554,2025-08-20T20:57:08.796519
event_2_1_40,analysis_001,zone_polygon_2,polygon_2,2,enter,1,40,1481,399,2025-08-20T20:57:08.796706
event_4_1_40,analysis_001,zone_polygon_1,polygon_1,4,enter,1,40,292,521,2025-08-20T20:57:08.796962
event_5_1_40,analysis_001,zone_polygon_2,polygon_2,5,enter,1,40,1193,1015,2025-08-20T20:57:08.797147
event_21_1_40,analysis_001,zone_polygon_2,polygon_2,21,enter,1,40,1472,794,2025-08-20T20:57:08.798546
event_31_1_40,analysis_001,zone_polygon_1,polygon_1,31,enter,1,40,369,567,2025-08-20T20:57:08.799414
event_38_1_40,analysis_001,zone_polygon_1,polygon_1,38,enter,1,40,486,574,2025-08-20T20:57:08.800009
event_40_6_240,analysis_001,zone_polygon_1,polygon_1,40,enter,6,240,422,584,2025-08-20T20:57:10.531861
event_41_6_240,analysis_001,zone_polygon_2,polygon_2,41,enter,6,240,1174,552,2025-08-20T20:57:10.531969
event_44_11_440,analysis_001,zone_polygon_2,polygon_2,44,enter,11,440,1176,542,2025-08-20T20:57:11.044955
event_50_31_1240,analysis_001,zone_polygon_2,polygon_2,50,enter,31,1240,1176,479,2025-08-20T20:57:12.724390
event_54_44_1760,analysis_001,zone_polygon_2,polygon_2,54,enter,44,1760,1094,1042,2025-08-20T20:57:13.805088
event_56_46_1840,analysis_001,zone_polygon_2,polygon_2,56,enter,46,1840,1190,442,2025-08-20T20:57:13.969035
event_58_52_2080,analysis_001,zone_polygon_1,polygon_1,58,enter,52,2080,358,551,2025-08-20T20:57:14.506360
event_59_52_2080,analysis_001,zone_polygon_1,polygon_1,59,enter,52,2080,427,592,2025-08-20T20:57:14.506463
event_64_65_2600,analysis_001,zone_polygon_2,polygon_2,64,enter,65,2600,1608,653,2025-08-20T20:57:15.718376
event_66_70_2800,analysis_001,zone_polygon_2,polygon_2,66,enter,70,2800,1219,1047,2025-08-20T20:57:16.207447
event_72_85_3400,analysis_001,zone_polygon_1,polygon_1,72,enter,85,3400,383,553,2025-08-20T20:57:18.420034
event_33_86_3440,analysis_001,zone_polygon_2,polygon_2,33,enter,86,3440,1693,472,2025-08-20T20:57:18.507151
event_13_88_3520,analysis_001,zone_polygon_1,polygon_1,13,enter,88,3520,602,528,2025-08-20T20:57:18.676814
event_28_125_5000,analysis_001,zone_polygon_1,polygon_1,28,enter,125,5000,581,493,2025-08-20T20:57:22.017432
event_77_126_5040,analysis_001,zone_polygon_1,polygon_1,77,enter,126,5040,419,554,2025-08-20T20:57:22.104564
event_11_146_5840,analysis_001,zone_polygon_2,polygon_2,11,enter,146,5840,1169,355,2025-08-20T20:57:23.891121
event_39_211_8440,analysis_001,zone_polygon_2,polygon_2,39,enter,211,8440,1014,666,2025-08-20T20:57:29.820117
event_91_214_8560,analysis_001,zone_polygon_1,polygon_1,91,enter,214,8560,464,534,2025-08-20T20:57:30.093405
event_19_244_9760,analysis_001,zone_polygon_2,polygon_2,19,enter,244,9760,990,994,2025-08-20T20:57:32.966464
event_96_251_10040,analysis_001,zone_polygon_2,polygon_2,96,enter,251,10040,1428,1033,2025-08-20T20:57:33.596326
event_99_274_10960,analysis_001,zone_polygon_2,polygon_2,99,enter,274,10960,1543,993,2025-08-20T20:57:35.795652
event_110_294_11760,analysis_001,zone_polygon_2,polygon_2,110,enter,294,11760,1489,1049,2025-08-20T20:57:37.569827
event_113_297_11880,analysis_001,zone_polygon_2,polygon_2,113,enter,297,11880,1190,861,2025-08-20T20:57:37.856439
event_119_321_12840,analysis_001,zone_polygon_1,polygon_1,119,enter,321,12840,443,548,2025-08-20T20:57:40.178490
event_120_321_12840,analysis_001,zone_polygon_2,polygon_2,120,enter,321,12840,1076,723,2025-08-20T20:57:40.178918
event_121_321_12840,analysis_001,zone_polygon_2,polygon_2,121,enter,321,12840,1097,749,2025-08-20T20:57:40.178995
event_122_325_13000,analysis_001,zone_polygon_2,polygon_2,122,enter,325,13000,1464,1042,2025-08-20T20:57:40.539502
event_123_325_13000,analysis_001,zone_polygon_1,polygon_1,123,enter,325,13000,420,554,2025-08-20T20:57:40.539583
event_124_326_13040,analysis_001,zone_polygon_2,polygon_2,124,enter,326,13040,1190,1053,2025-08-20T20:57:40.628876
event_127_340_13600,analysis_001,zone_polygon_1,polygon_1,127,enter,340,13600,465,534,2025-08-20T20:57:41.832849
event_128_341_13640,analysis_001,zone_polygon_2,polygon_2,128,enter,341,13640,1605,626,2025-08-20T20:57:41.914373
