id,analysis_id,frame_number,timestamp_ms,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,created_at
detection_1_1_40,analysis_001,1,40,1,person,0.8072,1459,469,1544,640,1501,554,2025-08-25T23:26:10.071132
detection_2_1_40,analysis_001,1,40,2,person,0.7892,1446,319,1516,480,1481,399,2025-08-25T23:26:10.071365
detection_3_1_40,analysis_001,1,40,3,person,0.7729,664,649,744,850,704,749,2025-08-25T23:26:10.071551
detection_4_1_40,analysis_001,1,40,4,person,0.7686,259,434,326,609,292,521,2025-08-25T23:26:10.071611
detection_5_1_40,analysis_001,1,40,5,person,0.7548,1141,950,1245,1080,1193,1015,2025-08-25T23:26:10.071861
detection_6_1_40,analysis_001,1,40,6,person,0.7518,749,450,822,620,785,535,2025-08-25T23:26:10.071946
detection_7_1_40,analysis_001,1,40,7,person,0.7290,1794,144,1850,271,1822,207,2025-08-25T23:26:10.072160
detection_8_1_40,analysis_001,1,40,8,person,0.6932,1200,126,1255,265,1227,195,2025-08-25T23:26:10.072391
detection_9_1_40,analysis_001,1,40,9,person,0.6346,198,44,266,160,232,102,2025-08-25T23:26:10.072570
detection_10_1_40,analysis_001,1,40,10,person,0.6245,709,241,764,386,736,313,2025-08-25T23:26:10.072651
detection_11_1_40,analysis_001,1,40,11,person,0.6055,1091,45,1133,147,1112,96,2025-08-25T23:26:10.072713
detection_12_1_40,analysis_001,1,40,12,person,0.5942,1674,11,1727,140,1700,75,2025-08-25T23:26:10.072772
detection_13_1_40,analysis_001,1,40,13,person,0.5721,566,271,628,404,597,337,2025-08-25T23:26:10.072835
detection_14_1_40,analysis_001,1,40,14,person,0.5630,892,93,930,210,911,151,2025-08-25T23:26:10.072912
detection_15_1_40,analysis_001,1,40,15,person,0.5594,1615,16,1654,127,1634,71,2025-08-25T23:26:10.072962
detection_16_1_40,analysis_001,1,40,16,person,0.5389,89,128,144,252,116,190,2025-08-25T23:26:10.073020
detection_17_1_40,analysis_001,1,40,17,person,0.5383,1163,151,1213,279,1188,215,2025-08-25T23:26:10.073072
detection_18_1_40,analysis_001,1,40,18,person,0.5316,854,72,894,196,874,134,2025-08-25T23:26:10.073129
detection_19_1_40,analysis_001,1,40,19,person,0.5222,925,174,979,306,952,240,2025-08-25T23:26:10.073189
detection_20_1_40,analysis_001,1,40,20,person,0.5090,798,75,844,202,821,138,2025-08-25T23:26:10.073243
detection_21_1_40,analysis_001,1,40,21,person,0.5062,1419,702,1525,886,1472,794,2025-08-25T23:26:10.073328
detection_22_1_40,analysis_001,1,40,22,person,0.4806,725,5,770,108,747,56,2025-08-25T23:26:10.073364
detection_23_1_40,analysis_001,1,40,23,person,0.4743,31,792,137,989,84,890,2025-08-25T23:26:10.073448
detection_24_1_40,analysis_001,1,40,24,person,0.4324,1695,77,1780,284,1737,180,2025-08-25T23:26:10.073507
detection_25_1_40,analysis_001,1,40,25,person,0.4195,346,0,404,138,375,69,2025-08-25T23:26:10.073541
detection_26_1_40,analysis_001,1,40,26,person,0.3893,1580,19,1621,122,1600,70,2025-08-25T23:26:10.073595
detection_27_1_40,analysis_001,1,40,27,person,0.3749,1581,15,1638,124,1609,69,2025-08-25T23:26:10.073636
detection_28_1_40,analysis_001,1,40,28,person,0.3628,570,201,621,290,595,245,2025-08-25T23:26:10.073696
detection_29_1_40,analysis_001,1,40,29,person,0.3509,1718,76,1781,200,1749,138,2025-08-25T23:26:10.073753
detection_30_1_40,analysis_001,1,40,30,person,0.3491,1300,9,1344,110,1322,59,2025-08-25T23:26:10.073788
detection_31_1_40,analysis_001,1,40,31,person,0.3472,343,493,395,642,369,567,2025-08-25T23:26:10.073847
detection_32_1_40,analysis_001,1,40,32,person,0.3184,1901,97,1919,201,1910,149,2025-08-25T23:26:10.073882
detection_33_1_40,analysis_001,1,40,33,person,0.2851,1850,709,1919,846,1884,777,2025-08-25T23:26:10.073923
detection_34_1_40,analysis_001,1,40,34,person,0.2845,1387,2,1438,183,1412,92,2025-08-25T23:26:10.073959
detection_35_1_40,analysis_001,1,40,35,person,0.2784,1591,16,1653,126,1622,71,2025-08-25T23:26:10.074005
detection_36_1_40,analysis_001,1,40,36,person,0.2742,1685,152,1763,285,1724,218,2025-08-25T23:26:10.074067
detection_37_1_40,analysis_001,1,40,37,person,0.2700,358,27,404,139,381,83,2025-08-25T23:26:10.074159
detection_38_1_40,analysis_001,1,40,38,person,0.2696,457,510,515,638,486,574,2025-08-25T23:26:10.074229
detection_39_1_40,analysis_001,1,40,39,person,0.2684,983,100,1038,231,1010,165,2025-08-25T23:26:10.074290
detection_1_2_80,analysis_001,2,80,1,person,0.7231,1463,477,1546,646,1504,561,2025-08-25T23:26:11.027833
detection_2_2_80,analysis_001,2,80,2,person,0.7682,1450,321,1519,483,1484,402,2025-08-25T23:26:11.910248
detection_3_2_80,analysis_001,2,80,3,person,0.7692,670,641,744,834,707,737,2025-08-25T23:26:11.911366
detection_4_2_80,analysis_001,2,80,4,person,0.7049,256,441,326,609,291,525,2025-08-25T23:26:11.911651
detection_5_2_80,analysis_001,2,80,5,person,0.8194,1139,942,1242,1079,1190,1010,2025-08-25T23:26:11.911954
detection_6_2_80,analysis_001,2,80,6,person,0.7029,754,444,823,605,788,524,2025-08-25T23:26:11.912144
detection_7_2_80,analysis_001,2,80,7,person,0.6813,1794,146,1851,275,1822,210,2025-08-25T23:26:11.912450
detection_8_2_80,analysis_001,2,80,8,person,0.6815,1201,120,1255,260,1228,190,2025-08-25T23:26:11.912599
detection_9_2_80,analysis_001,2,80,9,person,0.6953,203,41,265,156,234,98,2025-08-25T23:26:11.912987
detection_10_2_80,analysis_001,2,80,10,person,0.5227,710,238,763,377,736,307,2025-08-25T23:26:11.913116
detection_11_2_80,analysis_001,2,80,11,person,0.6171,1090,46,1134,150,1112,98,2025-08-25T23:26:11.913200
detection_12_2_80,analysis_001,2,80,12,person,0.5411,1675,10,1727,141,1701,75,2025-08-25T23:26:11.913264
detection_13_2_80,analysis_001,2,80,13,person,0.4723,567,272,629,409,598,340,2025-08-25T23:26:11.913420
detection_14_2_80,analysis_001,2,80,14,person,0.5186,892,85,934,206,913,145,2025-08-25T23:26:11.913501
detection_15_2_80,analysis_001,2,80,15,person,0.5514,1615,16,1655,127,1635,71,2025-08-25T23:26:11.913560
detection_16_2_80,analysis_001,2,80,16,person,0.4986,88,127,144,252,116,189,2025-08-25T23:26:11.913640
detection_17_2_80,analysis_001,2,80,17,person,0.5529,1164,150,1213,278,1188,214,2025-08-25T23:26:11.913709
detection_18_2_80,analysis_001,2,80,18,person,0.5470,853,70,894,195,873,132,2025-08-25T23:26:11.913780
detection_19_2_80,analysis_001,2,80,19,person,0.5321,925,179,980,314,952,246,2025-08-25T23:26:11.913854
detection_20_2_80,analysis_001,2,80,20,person,0.5841,799,73,841,199,820,136,2025-08-25T23:26:11.913921
detection_21_2_80,analysis_001,2,80,21,person,0.5344,1410,705,1521,888,1465,796,2025-08-25T23:26:11.914224
