id,analysis_id,line_id,line_name,track_id,direction,frame_number,timestamp_ms,position_x,position_y,class_name,confidence,created_at
crossing_1_2_80,analysis_001,line_entrada_principal,line_principal,1,left_to_right,2,80,1504,561,person,0.7230562,2025-08-25T23:26:11.028151
crossing_2_38_1520,analysis_001,line_entrada_principal,line_principal,2,left_to_right,38,1520,1550,525,person,0.7714252,2025-08-25T23:26:15.472317
crossing_5_41_1640,analysis_001,line_entrada_principal,line_principal,5,right_to_left,41,1640,1134,824,person,0.75762725,2025-08-25T23:26:15.879839
crossing_7_45_1800,analysis_001,line_entrada_principal,line_principal,7,left_to_right,45,1800,1868,295,person,0.49695092,2025-08-25T23:26:16.564159
crossing_36_62_2480,analysis_001,line_entrada_principal,line_principal,36,left_to_right,62,2480,1799,345,person,0.45841452,2025-08-25T23:26:18.892137
crossing_54_78_3120,analysis_001,line_entrada_principal,line_principal,54,right_to_left,78,3120,1044,888,person,0.7398842,2025-08-25T23:26:20.865716
crossing_33_100_4000,analysis_001,line_entrada_principal,line_principal,33,right_to_left,100,4000,1670,432,person,0.70061314,2025-08-25T23:26:24.952488
crossing_46_103_4120,analysis_001,line_entrada_principal,line_principal,46,left_to_right,103,4120,1803,344,person,0.76668555,2025-08-25T23:26:25.434679
crossing_67_105_4200,analysis_001,line_entrada_principal,line_principal,67,right_to_left,105,4200,1898,274,person,0.36969867,2025-08-25T23:26:25.811256
crossing_66_126_5040,analysis_001,line_entrada_principal,line_principal,66,right_to_left,126,5040,1250,738,person,0.7696064,2025-08-25T23:26:29.723123
crossing_12_194_7760,analysis_001,line_entrada_principal,line_principal,12,right_to_left,194,7760,1785,354,person,0.41521415,2025-08-25T23:26:37.240829
