id,analysis_id,zone_id,zone_name,track_id,event_type,frame_number,timestamp_ms,position_x,position_y,class_name,confidence,created_at
event_1_1_40,analysis_001,zone_zona_restriccion,polygon_restriccion,1,enter,1,40,1501,554,person,0.8071834,2025-08-25T23:34:00.780236
event_2_1_40,analysis_001,zone_zona_restriccion,polygon_restriccion,2,enter,1,40,1481,399,person,0.78921425,2025-08-25T23:34:00.831391
event_4_1_40,analysis_001,zone_entrada_principal,polygon_principal,4,enter,1,40,292,521,person,0.7685747,2025-08-25T23:34:00.837307
event_16_1_40,analysis_001,zone_entrada_principal,polygon_principal,16,enter,1,40,116,190,person,0.5388613,2025-08-25T23:34:00.841224
event_31_1_40,analysis_001,zone_entrada_principal,polygon_principal,31,enter,1,40,369,567,person,0.34716043,2025-08-25T23:34:00.847191
event_38_1_40,analysis_001,zone_entrada_principal,polygon_principal,38,enter,1,40,486,574,person,0.26961666,2025-08-25T23:34:00.850831
event_40_6_240,analysis_001,zone_entrada_principal,polygon_principal,40,enter,6,240,422,584,person,0.32373974,2025-08-25T23:34:03.291610
event_41_6_240,analysis_001,zone_zona_restriccion,polygon_restriccion,41,enter,6,240,1174,552,person,0.35576436,2025-08-25T23:34:03.293734
event_44_11_440,analysis_001,zone_zona_restriccion,polygon_restriccion,44,enter,11,440,1176,542,person,0.5161153,2025-08-25T23:34:03.991094
event_50_31_1240,analysis_001,zone_zona_restriccion,polygon_restriccion,50,enter,31,1240,1176,479,person,0.48295447,2025-08-25T23:34:06.967579
event_4_38_1520,analysis_001,zone_entrada_principal,polygon_principal,4,exit,38,1520,264,654,person,0.80707526,2025-08-25T23:34:07.930686
event_1_43_1720,analysis_001,zone_zona_restriccion,polygon_restriccion,1,exit,43,1720,1577,710,person,0.7241872,2025-08-25T23:34:08.599413
event_56_46_1840,analysis_001,zone_zona_restriccion,polygon_restriccion,56,enter,46,1840,1190,442,person,0.5043148,2025-08-25T23:34:09.236600
event_51_50_2000,analysis_001,zone_entrada_principal,polygon_principal,51,enter,50,2000,38,124,person,0.58605444,2025-08-25T23:34:10.084334
event_58_52_2080,analysis_001,zone_entrada_principal,polygon_principal,58,enter,52,2080,358,551,person,0.3632931,2025-08-25T23:34:10.400705
event_59_52_2080,analysis_001,zone_entrada_principal,polygon_principal,59,enter,52,2080,427,592,person,0.31482416,2025-08-25T23:34:10.404324
event_63_59_2360,analysis_001,zone_entrada_principal,polygon_principal,63,enter,59,2360,93,158,person,0.50054514,2025-08-25T23:34:11.588198
event_5_60_2400,analysis_001,zone_zona_restriccion,polygon_restriccion,5,enter,60,2400,1110,733,person,0.69565004,2025-08-25T23:34:11.684215
event_2_62_2480,analysis_001,zone_zona_restriccion,polygon_restriccion,2,exit,62,2480,1601,631,person,0.6202099,2025-08-25T23:34:11.985136
event_69_76_3040,analysis_001,zone_entrada_principal,polygon_principal,69,enter,76,3040,112,173,person,0.516645,2025-08-25T23:34:14.234373
event_44_85_3400,analysis_001,zone_zona_restriccion,polygon_restriccion,44,exit,85,3400,1200,344,person,0.48813796,2025-08-25T23:34:15.679137
event_72_85_3400,analysis_001,zone_entrada_principal,polygon_principal,72,enter,85,3400,383,553,person,0.35981506,2025-08-25T23:34:15.685653
event_44_87_3480,analysis_001,zone_zona_restriccion,polygon_restriccion,44,enter,87,3480,1200,345,person,0.534988,2025-08-25T23:34:15.892552
event_44_88_3520,analysis_001,zone_zona_restriccion,polygon_restriccion,44,exit,88,3520,1201,343,person,0.5664884,2025-08-25T23:34:15.999259
event_54_111_4440,analysis_001,zone_zona_restriccion,polygon_restriccion,54,enter,111,4440,1029,740,person,0.63899124,2025-08-25T23:34:19.348248
event_77_126_5040,analysis_001,zone_entrada_principal,polygon_principal,77,enter,126,5040,419,554,person,0.37711644,2025-08-25T23:34:22.163128
event_66_128_5120,analysis_001,zone_zona_restriccion,polygon_restriccion,66,enter,128,5120,1255,722,person,0.7120509,2025-08-25T23:34:22.644204
event_28_134_5360,analysis_001,zone_entrada_principal,polygon_principal,28,enter,134,5360,571,520,person,0.47618356,2025-08-25T23:34:23.622606
event_11_145_5800,analysis_001,zone_zona_restriccion,polygon_restriccion,11,enter,145,5800,1168,352,person,0.6984546,2025-08-25T23:34:25.091730
event_5_164_6560,analysis_001,zone_zona_restriccion,polygon_restriccion,5,exit,164,6560,1095,369,person,0.7022151,2025-08-25T23:34:27.575309
event_28_168_6720,analysis_001,zone_entrada_principal,polygon_principal,28,exit,168,6720,553,613,person,0.74841446,2025-08-25T23:34:28.040592
event_75_206_8240,analysis_001,zone_entrada_principal,polygon_principal,75,enter,206,8240,235,132,person,0.47169486,2025-08-25T23:34:33.612647
